PassengerId,Survived
892,0
893,0
894,1
895,0
896,1
897,0
898,0
899,1
900,1
901,0
902,0
903,0
904,1
905,1
906,0
907,0
908,1
909,1
910,0
911,1
912,0
913,0
914,0
915,0
916,0
917,0
918,1
919,1
920,1
921,1
922,0
923,0
924,0
925,0
926,1
927,1
928,0
929,1
930,0
931,1
932,0
933,1
934,0
935,1
936,1
937,0
938,0
939,0
940,1
941,0
942,1
943,0
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,0
952,0
953,1
954,0
955,0
956,0
957,0
958,0
959,1
960,1
961,1
962,0
963,0
964,1
965,0
966,1
967,1
968,0
969,1
970,1
971,0
972,1
973,0
974,1
975,0
976,1
977,1
978,0
979,0
980,0
981,1
982,0
983,0
984,0
985,0
986,1
987,0
988,1
989,0
990,0
991,0
992,1
993,1
994,0
995,0
996,1
997,0
998,0
999,0
1000,0
1001,1
1002,1
1003,0
1004,0
1005,0
1006,0
1007,1
1008,1
1009,0
1010,1
1011,0
1012,0
1013,0
1014,1
1015,0
1016,0
1017,0
1018,0
1019,0
1020,1
1021,0
1022,0
1023,1
1024,0
1025,1
1026,0
1027,0
1028,1
1029,1
1030,0
1031,0
1032,0
1033,1
1034,0
1035,1
1036,1
1037,0
1038,1
1039,0
1040,1
1041,1
1042,1
1043,0
1044,0
1045,0
1046,0
1047,0
1048,0
1049,0
1050,1
1051,0
1052,0
1053,1
1054,1
1055,0
1056,1
1057,0
1058,0
1059,0
1060,1
1061,0
1062,0
1063,1
1064,0
1065,1
1066,0
1067,1
1068,0
1069,1
1070,1
1071,0
1072,1
1073,0
1074,1
1075,0
1076,0
1077,1
1078,0
1079,0
1080,0
1081,1
1082,1
1083,1
1084,0
1085,1
1086,1
1087,0
1088,1
1089,0
1090,0
1091,0
1092,0
1093,0
1094,0
1095,1
1096,0
1097,0
1098,0
1099,1
1100,0
1101,0
1102,0
1103,0
1104,0
1105,1
1106,0
1107,1
1108,0
1109,0
1110,1
1111,0
1112,0
1113,0
1114,0
1115,0
1116,0
1117,1
1118,0
1119,0
1120,0
1121,1
1122,1
1123,1
1124,1
1125,0
1126,0
1127,0
1128,1
1129,1
1130,1
1131,0
1132,1
1133,1
1134,1
1135,0
1136,0
1137,1
1138,0
1139,1
1140,1
1141,1
1142,0
1143,0
1144,1
1145,0
1146,0
1147,0
1148,0
1149,0
1150,1
1151,0
1152,0
1153,0
1154,1
1155,0
1156,0
1157,0
1158,1
1159,0
1160,0
1161,1
1162,1
1163,0
1164,1
1165,0
1166,1
1167,1
1168,0
1169,1
1170,0
1171,0
1172,1
1173,0
1174,0
1175,1
1176,0
1177,0
1178,0
1179,1
1180,1
1181,0
1182,0
1183,0
1184,1
1185,0
1186,0
1187,0
1188,0
1189,1
1190,1
1191,0
1192,0
1193,1
1194,0
1195,1
1196,0
1197,1
1198,1
1199,0
1200,1
1201,0
1202,1
1203,1
1204,0
1205,0
1206,0
1207,0
1208,0
1209,1
1210,0
1211,0
1212,0
1213,1
1214,1
1215,1
1216,1
1217,0
1218,1
1219,0
1220,1
1221,1
1222,0
1223,0
1224,1
1225,1
1226,0
1227,1
1228,1
1229,1
1230,0
1231,1
1232,0
1233,0
1234,0
1235,0
1236,0
1237,0
1238,1
1239,1
1240,1
1241,0
1242,0
1243,0
1244,0
1245,1
1246,0
1247,1
1248,1
1249,1
1250,0
1251,0
1252,0
1253,0
1254,0
1255,1
1256,1
1257,0
1258,1
1259,1
1260,1
1261,0
1262,1
1263,1
1264,1
1265,1
1266,0
1267,0
1268,1
1269,1
1270,0
1271,0
1272,0
1273,0
1274,0
1275,0
1276,0
1277,1
1278,0
1279,1
1280,0
1281,0
1282,1
1283,0
1284,0
1285,0
1286,0
1287,1
1288,0
1289,1
1290,0
1291,1
1292,0
1293,1
1294,1
1295,1
1296,1
1297,0
1298,1
1299,1
1300,0
1301,0
1302,0
1303,1
1304,0
1305,0
1306,0
1307,0
1308,0
1309,1
